"","year","region","unemp_rate"
"728",2009,"illinois",11.1
"729",2009,"indiana",9.9
"730",2009,"iowa",6.6
"731",2009,"kansas",6.6
"732",2009,"kentucky",10.7
"733",2009,"louisiana",7.5
"734",2009,"maine",8.3
"735",2009,"maryland",7.5
"736",2009,"massachusetts",9.4
"737",2009,"michigan",14.6
"738",2009,"minnesota",7.4
"739",2009,"mississippi",10.6
"740",2009,"missouri",9.6
"741",2009,"montana",6.7
"742",2009,"nebraska",4.7
"743",2009,"nevada",13
"744",2009,"new hampshire",7
"745",2009,"new jersey",10.1
"746",2009,"new mexico",8.3
"747",2009,"new york",9
"748",2009,"north carolina",11.2
"749",2009,"north dakota",4.4
"750",2009,"ohio",10.9
"751",2009,"oklahoma",6.6
"752",2009,"oregon",11
"753",2009,"pennsylvania",8.9
"754",2009,"rhode island",12.9
"755",2009,"south carolina",12.6
"756",2009,"south dakota",4.7
"757",2009,"tennessee",10.9
"758",2009,"texas",8.3
"759",2009,"utah",6.7
"760",2009,"vermont",6.9
"761",2009,"virginia",6.9
"762",2009,"washington",9.5
"763",2009,"west virginia",9.1
"764",2009,"wisconsin",8.7
"765",2009,"wyoming",7.5
"766",2010,"alabama",9.1
"767",2010,"alaska",8.1
"768",2010,"arizona",9.4
"769",2010,"arkansas",7.9
"770",2010,"california",12.5
"771",2010,"colorado",8.8
"772",2010,"connecticut",9
"773",2010,"delaware",8.5
"774",2010,"district of columbia",9.7
"775",2010,"florida",12
"776",2010,"georgia",10.2
"777",2010,"hawaii",6.4
"778",2010,"idaho",9.5
"779",2010,"illinois",9.3
"780",2010,"indiana",9.5
"781",2010,"iowa",6.3
"782",2010,"kansas",6.8
"783",2010,"kentucky",10.3
"784",2010,"louisiana",8
"785",2010,"maine",7.3
"786",2010,"maryland",7.4
"787",2010,"massachusetts",8.2
"788",2010,"michigan",11.7
"789",2010,"minnesota",7
"790",2010,"mississippi",10.1
"791",2010,"missouri",9.5
"792",2010,"montana",7.2
"793",2010,"nebraska",4.4
"794",2010,"nevada",14.5
"795",2010,"new hampshire",5.5
"796",2010,"new jersey",9.1
"797",2010,"new mexico",8.5
"798",2010,"new york",8.2
"799",2010,"north carolina",9.8
"800",2010,"north dakota",3.8
"801",2010,"ohio",9.6
"802",2010,"oklahoma",6.8
"803",2010,"oregon",10.6
"804",2010,"pennsylvania",8.5
"805",2010,"rhode island",11.5
"806",2010,"south carolina",10.7
"807",2010,"south dakota",4.6
"808",2010,"tennessee",9.4
"809",2010,"texas",8.3
"810",2010,"utah",7.5
"811",2010,"vermont",5.8
"812",2010,"virginia",6.7
"813",2010,"washington",9.3
"814",2010,"west virginia",9.6
"815",2010,"wisconsin",7.5
"816",2010,"wyoming",6.4
"817",2011,"alabama",8.1
"818",2011,"alaska",7.3
"819",2011,"arizona",8.7
"820",2011,"arkansas",7.7
"821",2011,"california",11.1
"822",2011,"colorado",7.9
"823",2011,"connecticut",8.2
"824",2011,"delaware",7.4
"825",2011,"district of columbia",10.4
"826",2011,"florida",9.9
"827",2011,"georgia",9.7
"828",2011,"hawaii",6.6
"829",2011,"idaho",8.4
"830",2011,"illinois",9.8
"831",2011,"indiana",9
"832",2011,"iowa",5.6
"833",2011,"kansas",6.3
"834",2011,"kentucky",9.1
"835",2011,"louisiana",6.8
"836",2011,"maine",7
"837",2011,"maryland",6.7
"838",2011,"massachusetts",6.8
"839",2011,"michigan",9.3
"840",2011,"minnesota",5.7
"841",2011,"mississippi",10.4
"842",2011,"missouri",8
"843",2011,"montana",6.8
"844",2011,"nebraska",4.1
"845",2011,"nevada",12.6
"846",2011,"new hampshire",5.1
"847",2011,"new jersey",9
"848",2011,"new mexico",6.6
"849",2011,"new york",8
"850",2011,"north carolina",9.9
"851",2011,"north dakota",3.3
"852",2011,"ohio",8.1
"853",2011,"oklahoma",6.1
"854",2011,"oregon",8.9
"855",2011,"pennsylvania",7.6
"856",2011,"rhode island",10.8
"857",2011,"south carolina",9.5
"858",2011,"south dakota",4.2
"859",2011,"tennessee",8.7
"860",2011,"texas",7.8
"861",2011,"utah",6
"862",2011,"vermont",5.1
"863",2011,"virginia",6.2
"864",2011,"washington",8.5
"865",2011,"west virginia",7.9
"866",2011,"wisconsin",7.1
"867",2011,"wyoming",5.8
"868",2012,"alabama",7.1
"869",2012,"alaska",6.6
"870",2012,"arizona",7.9
"871",2012,"arkansas",7.1
"872",2012,"california",9.8
"873",2012,"colorado",7.6
"874",2012,"connecticut",8.6
"875",2012,"delaware",6.9
"876",2012,"district of columbia",8.5
"877",2012,"florida",8
"878",2012,"georgia",8.6
"879",2012,"hawaii",5.2
"880",2012,"idaho",6.6
"881",2012,"illinois",8.7
"882",2012,"indiana",8.2
"883",2012,"iowa",4.9
"884",2012,"kansas",5.4
"885",2012,"kentucky",8.1
"886",2012,"louisiana",5.5
"887",2012,"maine",7.3
"888",2012,"maryland",6.6
"889",2012,"massachusetts",6.7
"890",2012,"michigan",8.9
"891",2012,"minnesota",5.5
"892",2012,"mississippi",8.6
"893",2012,"missouri",6.7
"894",2012,"montana",5.7
"895",2012,"nebraska",3.7
"896",2012,"nevada",10.2
"897",2012,"new hampshire",5.7
"898",2012,"new jersey",9.6
"899",2012,"new mexico",6.4
"900",2012,"new york",8.2
"901",2012,"north carolina",9.2
"902",2012,"north dakota",3.2
"903",2012,"ohio",6.7
"904",2012,"oklahoma",5.1
"905",2012,"oregon",8.4
"906",2012,"pennsylvania",7.9
"907",2012,"rhode island",10.2
"908",2012,"south carolina",8.4
"909",2012,"south dakota",4.4
"910",2012,"tennessee",7.6
"911",2012,"texas",6.1
"912",2012,"utah",5.2
"913",2012,"vermont",5.1
"914",2012,"virginia",5.5
"915",2012,"washington",7.6
"916",2012,"west virginia",7.5
