"","year","region","pov_rate"
"886",2012,"louisiana",19.6
"887",2012,"maine",14
"888",2012,"maryland",10.1
"889",2012,"massachusetts",11.6
"890",2012,"michigan",17.3
"891",2012,"minnesota",11.7
"892",2012,"mississippi",23
"893",2012,"missouri",15.7
"894",2012,"montana",15.2
"895",2012,"nebraska",13
"896",2012,"nevada",15.8
"897",2012,"new hampshire",8.9
"898",2012,"new jersey",10.5
"899",2012,"new mexico",21
"900",2012,"new york",15.6
"901",2012,"north carolina",17.8
"902",2012,"north dakota",12.2
"903",2012,"ohio",16.1
"904",2012,"oklahoma",17.1
"905",2012,"oregon",16.8
"906",2012,"pennsylvania",13.6
"907",2012,"rhode island",14.2
"908",2012,"south carolina",18.5
"909",2012,"south dakota",13.9
"910",2012,"tennessee",17.9
"911",2012,"texas",18.1
"912",2012,"utah",13.2
"913",2012,"vermont",12
"914",2012,"virginia",11.5
"915",2012,"washington",13.7
