"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"79",1996,"nebraska",4001.8,21.4885923150966,1.81,9.5,2.7,34
"80",1996,"nevada",5180.7,14.5984736717484,2.45,10.1,5,34
"81",1996,"new hampshire",2705.3,129.557364254655,1.63,6.5,3.9,35
"82",1996,"new jersey",3801.4,1076.69497236824,3.54,8.7,6.2,35
"83",1996,"new mexico",5761.7,14.1145644507432,2.2,24,7.1,33
"84",1996,"new york",3405.3,385.079620531933,3.46,16.7,6,34
"85",1996,"north carolina",4938.1,150.314052300998,2.61,13,4,34
"86",1996,"north dakota",2585.1,9.33414499811578,1.56,11.1,2.7,34
"87",1996,"ohio",4027,272.824945669426,1.91,12.8,5,35
"88",1996,"oklahoma",5055.8,48.0641826468062,2,16.8,4.3,34
"89",1996,"oregon",5533.6,33.3743047019854,1.64,11.6,5.5,35
"90",1996,"pennsylvania",2960.1,268.987059348505,1.96,12.1,4.7,36
"91",1996,"rhode island",3646.4,947.368421052632,2.36,10.6,4.9,35
"92",1996,"south carolina",5217.2,122.845471754508,2.29,15.6,6.1,34
"93",1996,"south dakota",2792.8,9.64477706334985,1.54,13.6,2.9,34
"94",1996,"tennessee",4675.4,129.0666925447,2.11,15.3,5.1,35
"95",1996,"texas",5064.5,73.0316057942683,2.24,17.7,5.5,32
"96",1996,"utah",5654,24.3403758154026,1.69,8,3,27
"97",1996,"vermont",2881.7,63.6825602767867,1.42,10.2,4.5,35
"98",1996,"virginia",3627,168.569119652508,2.13,11.1,4,34
"99",1996,"washington",5478.2,83.1017857947462,1.54,12,5.8,34
"100",1996,"west virginia",2273.3,75.8085274214307,1.63,17.9,7.2,37
"101",1996,"wisconsin",3568.7,95.0031299480797,2.31,8.8,3.1,35
"102",1996,"wyoming",4004.4,4.95340095772617,2.62,11.1,4.6,34
"103",1997,"alabama",4325.3,85.1034482758621,2.04,16.6,5.1,35
"104",1997,"alaska",4571.4,1.06772047814241,1.41,8,7.9,32
"105",1997,"arizona",6571.3,40.0820119322082,1.82,17.9,4.6,34
"106",1997,"arkansas",4191.8,48.4493518963034,1.78,17.2,5.3,35
"107",1997,"california",4067.1,206.881960339289,1.87,16.7,6.3,32
"108",1997,"colorado",4287.2,37.5304880987959,2.4,9.2,3.3,34
"109",1997,"connecticut",3593.4,674.922600619195,1.98,10,5.1,36
"110",1997,"delaware",4460.4,374.424552429668,2.05,9.5,4,35
"111",1997,"district of columbia",7814.9,8672.13114754098,7.98,22.7,7.9,33
"112",1997,"florida",6248.2,271.385447339667,2.53,14.9,4.8,37
"113",1997,"georgia",5185.1,129.249469086138,4.1,13.8,4.5,33
"114",1997,"hawaii",5745,184.804608438424,2.47,12.1,6.4,35
"115",1997,"idaho",3668.4,14.6221797923892,1.76,13.7,5.3,33
"116",1997,"illinois",4279.7,213.983774935693,2.6,11.9,4.7,34
"117",1997,"indiana",3951.6,163.479230554781,1.71,8.6,3.5,34
"118",1997,"iowa",3505.8,51.0425055928412,1.65,10.5,3.3,36
"119",1997,"kansas",4154.3,31.7147990173912,2.52,10.5,3.8,34
"120",1997,"kentucky",2810.1,98.3590053357495,1.85,15.9,5.4,35
"121",1997,"louisiana",5593.4,99.8944130744158,3.5,18.8,6.1,33
"122",1997,"maine",3011,40.2397537664021,1.63,10.9,5.4,37
"123",1997,"maryland",4806.5,521.125319693095,2.71,9.6,5.1,35
"124",1997,"massachusetts",3031,780.556264353151,2.66,11.1,4,35
"125",1997,"michigan",4326.9,172.050203312855,2.04,11.2,4.2,34
"126",1997,"minnesota",4076.1,58.8567768190211,1.71,9.5,3.3,34
"127",1997,"mississippi",4161.3,58.2129002003666,1.96,20.2,5.7,33
"128",1997,"missouri",4237.1,78.4057592382943,2.13,10.2,4.2,35
"129",1997,"montana",4276.7,6.03891285828135,1.69,16,5.4,36
"130",1997,"nebraska",3845.3,21.5536304274305,1.81,9.9,2.6,34
"131",1997,"nevada",5265.8,15.2723894869133,2.45,10.1,4.1,34
"132",1997,"new hampshire",2526.4,130.783810904226,1.63,6.9,3.1,36
"133",1997,"new jersey",3564.4,1085.45626095161,3.65,8.8,5.1,36
"134",1997,"new mexico",6053.2,14.2546389374114,2.21,24,6.2,33
"135",1997,"new york",3222.4,384.063188209385,3.56,16.6,6.4,35
"136",1997,"north carolina",4884.5,152.407734307648,2.64,12.1,3.6,34
"137",1997,"north dakota",2624.2,9.29066295619909,1.64,12.2,2.5,35
"138",1997,"ohio",4079.2,273.142382731424,1.98,11.7,4.6,35
"139",1997,"oklahoma",4935.1,48.2971505118013,2.02,15.8,4.1,34
"140",1997,"oregon",5825.3,33.78054623862,1.64,11.5,5.8,36
"141",1997,"pennsylvania",2989.4,268.1838464971,1.99,11.7,5.2,37
"142",1997,"rhode island",3320.9,944.497607655502,2.4,11.5,5.3,36
"143",1997,"south carolina",5143.7,124.871309488227,2.38,15.4,4.5,34
"144",1997,"south dakota",3047.6,9.72383261304944,1.54,14.2,3.1,34
"145",1997,"tennessee",4722.1,130.231204056382,2.28,15.2,5.4,35
"146",1997,"texas",4878,74.2190184564399,2.22,16.9,5.4,32
"147",1997,"utah",5661.4,25.058416901957,1.76,8.3,3.1,27
"148",1997,"vermont",2708.5,63.6825602767867,1.44,10.7,4,36
"149",1997,"virginia",3530.9,170.059093893631,2.11,11.7,4,34
"150",1997,"washington",5485.6,84.258271879365,1.56,11.2,4.8,34
"151",1997,"west virginia",2250.4,75.3933657159464,1.66,17.2,6.9,37
"152",1997,"wisconsin",3407.1,95.1872445410023,2.34,8.5,3.7,35
"153",1997,"wyoming",3925.6,4.94310282683693,2.43,12.5,5.1,35
"154",1998,"alabama",4085,85.7536945812808,2.29,14.7,4.2,35
"155",1998,"alaska",4123.1,1.07648665612388,1.81,8.8,5.8,32
"156",1998,"arizona",5997,41.0851621759561,2.09,18.1,4.1,34
"157",1998,"arkansas",3793.2,48.7373979836774,2.05,17.2,5.5,35
"158",1998,"california",3639.1,209.440095401127,2.1,16.3,5.9,32
"159",1998,"colorado",4109.5,38.2824475315486,2.55,9.3,3.8,34
"160",1998,"connecticut",3420.2,675.748194014448,2.6,9.9,3.4,36
"161",1998,"delaware",4600.8,380.562659846547,2.96,9.5,3.8,35
"162",1998,"district of columbia",7117,8573.77049180328,7.9,22.7,8.8,34
"163",1998,"florida",5947.4,276.23756875382,2.53,13.9,4.3,38
"164",1998,"georgia",4890.3,131.942885754243,4.18,14.3,4.2,33
