"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"149",1997,"virginia",345.2,170.059093893631,2.11,11.7,4,34
"150",1997,"washington",440.7,84.258271879365,1.56,11.2,4.8,34
"151",1997,"west virginia",218.7,75.3933657159464,1.66,17.2,6.9,37
"152",1997,"wisconsin",270.6,95.1872445410023,2.34,8.5,3.7,35
"153",1997,"wyoming",255.2,4.94310282683693,2.43,12.5,5.1,35
"154",1998,"alabama",512.1,85.7536945812808,2.29,14.7,4.2,35
"155",1998,"alaska",653.9,1.07648665612388,1.81,8.8,5.8,32
"156",1998,"arizona",577.9,41.0851621759561,2.09,18.1,4.1,34
"157",1998,"arkansas",490.2,48.7373979836774,2.05,17.2,5.5,35
"158",1998,"california",703.7,209.440095401127,2.1,16.3,5.9,32
"159",1998,"colorado",377.9,38.2824475315486,2.55,9.3,3.8,34
"160",1998,"connecticut",366.3,675.748194014448,2.6,9.9,3.4,36
"161",1998,"delaware",762.4,380.562659846547,2.96,9.5,3.8,35
"162",1998,"district of columbia",1718.5,8573.77049180328,7.9,22.7,8.8,34
"163",1998,"florida",938.7,276.23756875382,2.53,13.9,4.3,38
"164",1998,"georgia",572.7,131.942885754243,4.18,14.3,4.2,33
"165",1998,"hawaii",246.9,185.738751362292,2.33,12.3,6.2,35
"166",1998,"idaho",282.2,14.8517842684681,1.98,13.2,5,33
"167",1998,"illinois",807.7,216.663968485241,2.78,11.1,4.5,34
"168",1998,"indiana",431,164.454976303318,1.83,8.6,3.1,34
"169",1998,"iowa",311.5,51.2214765100671,1.73,9.4,2.8,36
"170",1998,"kansas",397,32.1303301027828,2.55,10.1,3.8,34
"171",1998,"kentucky",284,99.0637269707037,1.97,15.5,4.6,35
"172",1998,"louisiana",779.5,100.284625625488,3.58,18.6,5.7,33
"173",1998,"maine",125.8,40.3045520816459,1.68,10.6,4.4,37
"174",1998,"maryland",796.6,525.319693094629,2.77,8.6,4.6,35
"175",1998,"massachusetts",621.3,784.256187803011,2.69,10.3,3.3,35
"176",1998,"michigan",620.8,172.807125631502,2.06,10.8,3.9,35
"177",1998,"minnesota",310.2,59.3466219525981,1.72,9.9,2.5,34
"178",1998,"mississippi",410.7,58.6605277742252,2,18.3,5.4,33
"179",1998,"missouri",555.7,78.9427849865018,2.17,10.4,4.2,35
"180",1998,"montana",138.8,6.04578306631125,1.71,16.4,5.6,36
"181",1998,"nebraska",451.4,21.6316761622311,1.85,10.8,2.7,35
"182",1998,"nevada",643.6,15.9098774201774,2.22,9.9,4.3,34
"183",1998,"new hampshire",107.2,132.121752703757,1.67,8.4,2.9,36
"184",1998,"new jersey",440.1,1093.81318236959,3.66,9,4.6,36
"185",1998,"new mexico",961.4,14.312316667216,2.26,22.4,6.2,33
"186",1998,"new york",637.8,384.867863798069,3.33,16.6,5.6,35
"187",1998,"north carolina",579.4,154.891415903773,2.57,12.5,3.5,35
"188",1998,"north dakota",89.3,9.2471809142824,1.67,13.2,3.2,35
"189",1998,"ohio",362.5,273.704002148805,1.95,11.6,4.3,35
"190",1998,"oklahoma",539.4,48.7339652586671,2.04,14.8,4.5,35
"191",1998,"oregon",419.8,34.1867877752547,1.65,12.8,5.6,36
"192",1998,"pennsylvania",420.5,267.759928603302,2.02,11.3,4.6,37
"193",1998,"rhode island",312.1,945.454545454545,2.41,11.8,4.9,36
"194",1998,"south carolina",903.2,127.395304041712,2.48,13.3,3.8,34
"195",1998,"south dakota",154.3,9.72383261304944,1.57,13,2.9,35
"196",1998,"tennessee",715,131.759625415464,2.32,14.5,4.2,35
"197",1998,"texas",564.6,75.4446115900639,2.3,16.1,4.8,32
"198",1998,"utah",314.2,25.5573946061727,1.86,8.5,3.8,27
"199",1998,"vermont",106.3,63.8987998702562,1.58,10.6,3.4,36
"200",1998,"virginia",325.7,171.49856053336,2.22,11.3,2.9,35
"201",1998,"washington",428.5,85.4447965635842,1.58,10,4.8,35
"202",1998,"west virginia",248.6,75.1857848632042,1.67,17.6,6.6,38
"203",1998,"wisconsin",249,96.1814633427846,2.32,8.6,3.4,35
"204",1998,"wyoming",247.6,4.95340095772617,2.46,12,4.8,35
"205",1999,"alabama",490.2,86.1083743842365,2.32,15.1,4.8,35
"206",1999,"alaska",631.5,1.08525283410534,1.89,8.6,6.4,32
"207",1999,"arizona",551.2,42.0443146019957,2.15,15.2,4.4,34
"208",1999,"arkansas",425.2,48.9870379260682,2.19,16.4,4.5,35
"209",1999,"california",627.2,212.504728382476,2.23,15.3,5.2,33
"210",1999,"colorado",340.5,39.101890503138,2.54,8.6,2.9,34
"211",1999,"connecticut",345.6,677.399380804954,2.36,8.4,3.2,37
"212",1999,"delaware",734,385.677749360614,3.13,10.1,3.5,35
"213",1999,"district of columbia",1627.7,8508.19672131147,7.91,19.7,6.3,34
"214",1999,"florida",854,279.848880493361,2.6,13.3,3.9,38
"215",1999,"georgia",534,134.463647507726,3.05,13.7,4,33
"216",1999,"hawaii",235,184.493227463802,2.46,11.9,5.6,36
"217",1999,"idaho",244.9,15.1297265289845,1.99,13.9,5.2,33
"218",1999,"illinois",732.5,218.156962207472,2.78,10.4,4.3,34
"219",1999,"indiana",374.6,165.681628101478,1.83,8.3,3,35
"220",1999,"iowa",280,51.3467561521253,1.72,8.7,2.5,36
"221",1999,"kansas",382.8,32.4358676655708,2.55,10.5,3,35
"222",1999,"kentucky",300.6,99.6929427161985,1.98,13.8,4.5,35
"223",1999,"louisiana",732.7,100.353486663912,3.86,18.2,5.1,33
"224",1999,"maine",112.2,40.596144500243,1.7,10.4,4.1,38
"225",1999,"maryland",743.4,529.104859335038,2.75,7.6,3.5,35
"226",1999,"massachusetts",551,787.828527685634,2.71,10.9,3.2,36
"227",1999,"michigan",574.9,173.634459328628,2.05,10.3,3.8,35
"228",1999,"minnesota",274,59.9871886657372,1.74,9.1,2.8,35
"229",1999,"mississippi",349.3,59.022892953063,2.08,16.8,5.1,33
"230",1999,"missouri",500.2,79.3636970594212,2.2,11.1,3.4,35
"231",1999,"montana",206.5,6.06639369040095,1.71,15.9,5.2,37
"232",1999,"nebraska",430.2,21.6706990296314,1.85,11,2.9,35
"233",1999,"nevada",570,16.4745095896399,2.49,11,4.4,35
"234",1999,"new hampshire",96.5,133.905675103133,1.83,8.9,2.7,36
"235",1999,"new jersey",411.9,1097.5872759132,3.71,8.5,4.6,36
"236",1999,"new mexico",834.5,14.3370356942751,2.33,20.8,5.6,34
"237",1999,"new york",588.8,385.33372861257,3.33,15.7,5.2,35
"238",1999,"north carolina",542.1,157.046676792972,2.65,13,3.2,35
"239",1999,"north dakota",66.9,9.18920485839348,1.7,13.9,3.4,35
"240",1999,"ohio",316.4,274.876077454643,1.97,11.4,4.3,36
"241",1999,"oklahoma",508.2,48.8941306658513,2.04,13.5,3.4,35
"242",1999,"oregon",374.9,34.5409470636028,1.68,13.1,5.7,36
"243",1999,"pennsylvania",420.5,267.60374832664,2.08,10.6,4.4,37
"244",1999,"rhode island",286.6,948.325358851675,2.41,11.4,4.1,36
"245",1999,"south carolina",847.1,129.055826774269,2.52,12.8,4.5,35
"246",1999,"south dakota",167.4,9.65795298829978,1.64,11.7,2.9,35
"247",1999,"tennessee",694.9,133.045440209612,2.55,13.2,4,35
"248",1999,"texas",560.3,76.5289369793138,2.27,15.6,4.6,32
"249",1999,"utah",275.5,25.9225002434038,2.3,7.9,3.7,27
"250",1999,"vermont",113.8,64.2231592604606,1.61,9.6,3,37
"251",1999,"virginia",314.7,173.569372190515,2.27,9.8,2.8,35
"252",1999,"washington",377.3,86.4510896502005,1.6,9.2,4.7,35
