"year","population","region","property_crime","violent_crime","cluster_number"
2010,5988927,"missouri",3346.4,455,"2"
2010,989415,"montana",2543.8,272.2,"2"
2010,1826341,"nebraska",2673.2,279.5,"2"
2010,2700551,"nevada",2774.7,660.6,"3"
2010,1316470,"new hampshire",2186.3,167,"3"
2010,8791894,"new jersey",2081.9,307.7,"3"
2010,2059179,"new mexico",3435.4,588.9,"2"
2010,19378102,"new york",1941.2,392.1,"3"
2010,9535483,"north carolina",3447.3,363.4,"2"
2010,672591,"north dakota",1768.5,225,"3"
2010,11536504,"ohio",3245.2,315.2,"2"
2010,3751351,"oklahoma",3415.5,479.5,"2"
2010,3831074,"oregon",3012.9,252,"2"
2010,12702379,"pennsylvania",2173,366.2,"3"
2010,1052567,"rhode island",2556.6,256.6,"2"
2010,4625364,"south carolina",3900.4,597.7,"2"
2010,814180,"south dakota",1852.4,268.5,"3"
2010,6346105,"tennessee",3657.9,613.3,"2"
2010,25145561,"texas",3783,450.3,"2"
2010,2763885,"utah",3179.6,212.7,"2"
2010,625741,"vermont",2282.3,130.2,"2"
2010,8001024,"virginia",2327.2,213.6,"3"
2010,6724540,"washington",3706.6,313.8,"2"
2010,1852994,"west virginia",2239.6,314.6,"3"
2010,5686986,"wisconsin",2507.7,248.7,"2"
2010,563626,"wyoming",2461.6,195.9,"2"
2011,4802740,"alabama",3606.1,420.1,"1"
2011,722718,"alaska",2632.8,606.5,"2"
2011,6482505,"arizona",3554.5,405.9,"1"
2011,2937979,"arkansas",3754.1,480.9,"1"
2011,37691912,"california",2583.8,411.1,"2"
2011,5116796,"colorado",2606.3,320.2,"2"
2011,3580709,"connecticut",2167.4,272.8,"2"
2011,907135,"delaware",3410.6,559.5,"1"
2011,617996,"district of columbia",4795.5,1202.1,"3"
2011,19057542,"florida",3522,515.3,"1"
2011,9815210,"georgia",3626.5,373.2,"1"
2011,1374810,"hawaii",3337.8,287.2,"1"
2011,1584985,"idaho",2068.6,200.9,"2"
2011,12869257,"illinois",2688.8,429.3,"2"
2011,6516922,"indiana",3161.8,331.8,"1"
2011,3062309,"iowa",2330.3,255.6,"2"
2011,2871238,"kansas",3080.1,353.9,"1"
2011,4369356,"kentucky",2708.8,238.2,"1"
2011,4574836,"louisiana",3688.5,555.3,"1"
2011,1328188,"maine",2545.5,123.2,"1"
2011,5828289,"maryland",2860.2,494.1,"2"
2011,6587536,"massachusetts",2258.7,428.4,"2"
2011,9876187,"michigan",2612.1,445.3,"2"
2011,5344861,"minnesota",2549.4,221.2,"2"
2011,2978512,"mississippi",3025.5,269.8,"1"
2011,6010688,"missouri",3308.8,447.4,"1"
2011,998199,"montana",2319.7,267.5,"2"
2011,1842641,"nebraska",2752.9,253.2,"1"
2011,2723322,"nevada",2560.5,562.1,"2"
2011,1318194,"new hampshire",2283.9,188,"2"
2011,8821155,"new jersey",2150.7,308.4,"2"
2011,2082224,"new mexico",3531.5,567.5,"1"
2011,19465197,"new york",1912.4,398.1,"2"
2011,9656401,"north carolina",3526.8,349.8,"1"
2011,683932,"north dakota",1936.7,247,"2"
2011,11544951,"ohio",3354.7,307.4,"1"
2011,3791508,"oklahoma",3356.2,454.8,"1"
2011,3871859,"oregon",3114.6,247.6,"1"
2011,12742886,"pennsylvania",2222.3,355,"2"
2011,3706690,"puerto rico",1395.2,284.4,"2"
2011,1051302,"rhode island",2676.8,247.5,"1"
