"","year","state","property_crime","violent_crime","density"
"168",1998,"hawaii",5086.1,246.9,185.738751362292
"169",1998,"idaho",3432.5,282.2,14.8517842684681
"170",1998,"illinois",4065,807.7,216.663968485241
"171",1998,"indiana",3738.4,431,164.454976303318
"172",1998,"iowa",3189.1,311.5,51.2214765100671
"173",1998,"kansas",4461.7,397,32.1303301027828
"174",1998,"kentucky",2605.3,284,99.0637269707037
"175",1998,"louisiana",5318.8,779.5,100.284625625488
"176",1998,"maine",2914.9,125.8,40.3045520816459
"177",1998,"maryland",4569.1,796.6,525.319693094629
"178",1998,"massachusetts",2814.6,621.3,784.256187803011
"179",1998,"michigan",4062.1,620.8,172.807125631502
"180",1998,"minnesota",3736.3,310.2,59.3466219525981
"181",1998,"mississippi",3973.3,410.7,58.6605277742252
"182",1998,"missouri",4270.7,555.7,78.9427849865018
"183",1998,"montana",3931.9,138.8,6.04578306631125
"184",1998,"nebraska",3953.8,451.4,21.6316761622311
"185",1998,"nevada",4636.9,643.6,15.9098774201774
"186",1998,"new hampshire",2312.7,107.2,132.121752703757
"187",1998,"new jersey",3213.9,440.1,1093.81318236959
"188",1998,"new mexico",5757.7,961.4,14.312316667216
"189",1998,"new york",2950.7,637.8,384.867863798069
"190",1998,"north carolina",4742.8,579.4,154.891415903773
"191",1998,"north dakota",2591.7,89.3,9.2471809142824
"192",1998,"ohio",3965,362.5,273.704002148805
"193",1998,"oklahoma",4464.5,539.4,48.7339652586671
"194",1998,"oregon",5226.8,419.8,34.1867877752547
"195",1998,"pennsylvania",2852.4,420.5,267.759928603302
"197",1998,"rhode island",3205.7,312.1,945.454545454545
"198",1998,"south carolina",4873.8,903.2,127.395304041712
"199",1998,"south dakota",2469.8,154.3,9.72383261304944
"200",1998,"tennessee",4319.4,715,131.759625415464
"201",1998,"texas",4547,564.6,75.4446115900639
"202",1998,"utah",5191.7,314.2,25.5573946061727
"203",1998,"vermont",3032.8,106.3,63.8987998702562
"204",1998,"virginia",3334.7,325.7,171.49856053336
"205",1998,"washington",5438.9,428.5,85.4447965635842
"206",1998,"west virginia",2298.6,248.6,75.1857848632042
"207",1998,"wisconsin",3294.1,249,96.1814633427846
"208",1998,"wyoming",3560.1,247.6,4.95340095772617
"209",1999,"alabama",3922.2,490.2,86.1083743842365
"210",1999,"alaska",3731.7,631.5,1.08525283410534
"211",1999,"arizona",5345.4,551.2,42.0443146019957
