"","year","region","med_age"
"345",2001,"pennsylvania",38
"346",2001,"rhode island",37
"347",2001,"south carolina",35
"348",2001,"south dakota",35
"349",2001,"tennessee",36
"350",2001,"texas",32
"351",2001,"utah",27
"352",2001,"vermont",38
"353",2001,"virginia",36
"354",2001,"washington",35
"355",2001,"west virginia",39
"356",2001,"wisconsin",36
"357",2001,"wyoming",36
"358",2002,"alabama",36
"359",2002,"alaska",32
"360",2002,"arizona",34
"361",2002,"arkansas",36
"362",2002,"california",33
"363",2002,"colorado",34
"364",2002,"connecticut",38
"365",2002,"delaware",36
"366",2002,"district of columbia",34
"367",2002,"florida",39
"368",2002,"georgia",33
"369",2002,"hawaii",36
"370",2002,"idaho",33
"371",2002,"illinois",35
"372",2002,"indiana",35
"373",2002,"iowa",37
"374",2002,"kansas",35
"375",2002,"kentucky",36
"376",2002,"louisiana",34
"377",2002,"maine",39
"378",2002,"maryland",36
"379",2002,"massachusetts",37
"380",2002,"michigan",36
"381",2002,"minnesota",35
"382",2002,"mississippi",34
"383",2002,"missouri",36
"384",2002,"montana",38
"385",2002,"nebraska",35
"386",2002,"nevada",35
"387",2002,"new hampshire",37
"388",2002,"new jersey",37
"389",2002,"new mexico",35
"390",2002,"new york",36
"391",2002,"north carolina",35
"392",2002,"north dakota",36
"393",2002,"ohio",36
"394",2002,"oklahoma",35
"395",2002,"oregon",36
"396",2002,"pennsylvania",38
"397",2002,"rhode island",37
"398",2002,"south carolina",36
"399",2002,"south dakota",36
"400",2002,"tennessee",36
"401",2002,"texas",32
"402",2002,"utah",27
"403",2002,"vermont",38
"404",2002,"virginia",36
"405",2002,"washington",35
"406",2002,"west virginia",39
"407",2002,"wisconsin",36
"408",2002,"wyoming",36
"409",2003,"alabama",36
"410",2003,"alaska",33
"411",2003,"arizona",34
"412",2003,"arkansas",36
"413",2003,"california",33
"414",2003,"colorado",34
"415",2003,"connecticut",38
"416",2003,"delaware",36
"417",2003,"district of columbia",34
"418",2003,"florida",39
"419",2003,"georgia",33
"420",2003,"hawaii",37
"421",2003,"idaho",33
"422",2003,"illinois",35
"423",2003,"indiana",35
"424",2003,"iowa",37
"425",2003,"kansas",35
"426",2003,"kentucky",36
"427",2003,"louisiana",34
"428",2003,"maine",39
"429",2003,"maryland",36
"430",2003,"massachusetts",37
"431",2003,"michigan",36
"432",2003,"minnesota",36
"433",2003,"mississippi",34
"434",2003,"missouri",36
"435",2003,"montana",38
"436",2003,"nebraska",35
"437",2003,"nevada",35
"438",2003,"new hampshire",38
"439",2003,"new jersey",37
"440",2003,"new mexico",35
"441",2003,"new york",36
"442",2003,"north carolina",36
"443",2003,"north dakota",36
"444",2003,"ohio",37
"445",2003,"oklahoma",35
"446",2003,"oregon",36
"447",2003,"pennsylvania",38
"448",2003,"rhode island",37
"449",2003,"south carolina",36
"450",2003,"south dakota",36
"451",2003,"tennessee",36
"452",2003,"texas",32
"453",2003,"utah",27
"454",2003,"vermont",38
"455",2003,"virginia",36
"456",2003,"washington",36
"457",2003,"west virginia",39
"458",2003,"wisconsin",36
"459",2003,"wyoming",37
"460",2004,"alabama",36
"461",2004,"alaska",33
"462",2004,"arizona",34
"463",2004,"arkansas",36
"464",2004,"california",34
"465",2004,"colorado",34
"466",2004,"connecticut",38
"467",2004,"delaware",37
"468",2004,"district of columbia",34
"469",2004,"florida",39
"470",2004,"georgia",34
"471",2004,"hawaii",37
"472",2004,"idaho",33
"473",2004,"illinois",35
"474",2004,"indiana",35
"475",2004,"iowa",37
"476",2004,"kansas",35
"477",2004,"kentucky",36
"478",2004,"louisiana",34
"479",2004,"maine",40
"480",2004,"maryland",36
"481",2004,"massachusetts",37
"482",2004,"michigan",36
"483",2004,"minnesota",36
"484",2004,"mississippi",34
"485",2004,"missouri",36
"486",2004,"montana",38
"487",2004,"nebraska",35
"488",2004,"nevada",35
"489",2004,"new hampshire",38
"490",2004,"new jersey",37
"491",2004,"new mexico",35
"492",2004,"new york",36
"493",2004,"north carolina",36
"494",2004,"north dakota",36
"495",2004,"ohio",37
"496",2004,"oklahoma",35
"497",2004,"oregon",37
"498",2004,"pennsylvania",39
"499",2004,"rhode island",37
"500",2004,"south carolina",36
"501",2004,"south dakota",36
"502",2004,"tennessee",36
"503",2004,"texas",32
"504",2004,"utah",27
"505",2004,"vermont",39
"506",2004,"virginia",36
"507",2004,"washington",36
"508",2004,"west virginia",40
"509",2004,"wisconsin",37
"510",2004,"wyoming",37
"511",2005,"alabama",36
"512",2005,"alaska",33
"513",2005,"arizona",34
"514",2005,"arkansas",36
"515",2005,"california",34
"516",2005,"colorado",35
"517",2005,"connecticut",38
"518",2005,"delaware",37
"519",2005,"district of columbia",34
"520",2005,"florida",39
"521",2005,"georgia",34
"522",2005,"hawaii",37
"523",2005,"idaho",34
"524",2005,"illinois",35
"525",2005,"indiana",36
"526",2005,"iowa",37
"527",2005,"kansas",35
"528",2005,"kentucky",37
"529",2005,"louisiana",35
"530",2005,"maine",40
"531",2005,"maryland",37
"532",2005,"massachusetts",38
"533",2005,"michigan",36
"534",2005,"minnesota",36
"535",2005,"mississippi",35
"536",2005,"missouri",37
"537",2005,"montana",39
"538",2005,"nebraska",35
"539",2005,"nevada",35
"540",2005,"new hampshire",39
"541",2005,"new jersey",37
"542",2005,"new mexico",35
"543",2005,"new york",37
"544",2005,"north carolina",36
"545",2005,"north dakota",37
"546",2005,"ohio",37
"547",2005,"oklahoma",36
"548",2005,"oregon",37
"549",2005,"pennsylvania",39
"550",2005,"rhode island",37
"551",2005,"south carolina",36
"552",2005,"south dakota",36
"553",2005,"tennessee",36
"554",2005,"texas",33
"555",2005,"utah",28
"556",2005,"vermont",39
"557",2005,"virginia",36
"558",2005,"washington",36
"559",2005,"west virginia",40
"560",2005,"wisconsin",37
"561",2005,"wyoming",37
"562",2006,"alabama",37
"563",2006,"alaska",33
"564",2006,"arizona",35
"565",2006,"arkansas",36
"566",2006,"california",34
"567",2006,"colorado",35
